Кодзима - ...?|гений
Кларнет - это скрипка среди деревянных духовых инструментов,- утверждал ... ?|берлиоз
Класс подводной лодки?|акула
Класс хордовых животных. Наземные, двуногие, передние конечности трансформированы, тело покрыто перьями, температура тела постоянная... Да, еще они яйца откладывают :-) Кто такие?|птицы
Классик русской живописи?|репин
Классик сказал: "Быть можно дельным человеком и думать о красе ..." Чего?|ногтей
Классик сказал: "Быть можно дельным человеком и думать о красе : ?|ногтей
Клевец - это то же, что и ...|чекан
Клей, получаемый нагреванием разведённого водой крахмала?|клейстер
Клеймо на теле животного?|тавро
Клеймо, выжигаемое на коже или рогах животных?|тавро
Климатическая зона?|пустыня
Клип Лены Зосимовой с участием бывшего музобозника И. Демидова?|маэстро
Кличка коня Александра Македонского?|буцефал
Клюворыл живет в ... ?|воде
Книга о жизни, которую хотел бы прожить автор. Неизв?|мемуары
Книга, содержащая изложение догм и положение ислама?|коран
Книга, сочинение?|том
Книга,содержащая изложение догм и положений мусульманской религии,мифов и норм права?|коран
Книги этого бельгийца были опубликованы на пятидесяти языках тиражом более шестисот миллионов экземпляров?|сименон
Книгу "Москва и москвичи" написал не только Гиляровский, но и ... ?|загоскин
Князь Лев Сергеевич Голицын, выпускник Сорбонны и Московского университета, обладал уникальнейшим даром ... ?|дегустатора вин
Князь Тмутараканский (с 988) и Черниговский (с 1026). Покорил косогов и ряд кавказких племен. Борьба с братом Ярославом Мудрым завершилась разделом государства по реке Днепр, сохранившемся до его смерти в 1036 г. Кто это?|мстислав
Князь Туровский (с 988) и Киевсикий (1015-1019). Убил трех своих братьев и завладел их уделами. Изгаг Ярославом Мудрым. В 1018 с помощью польских и печенегских войск захватил Киев, но был разбит. Кто это?|святополк окаянный
Коварные умыслы?|козни
Коварный шекспировский персонаж?|яго
Ковбойские спортивные состязания?|родео
Когда береза плачет?|весной
Когда была Грюндвальская битва?|1410
Когда была испытана первая советская атомная бомба?|1949
Когда Великий Комбинатор вошёл в Старгород со стороны деревни Чмаровки у него в руках была только эта вешь, которую он тут же стал продавать на привозном рынке. Что это была за вещь?|астролябия
Когда Господь хочет наказать зайца, он дает ему ... Что?|храбрость
Когда замрут отчаянье и злоба, нисходит сон. И крепко спим мы оба на разных полюсах Земли. - автор?|александр блок
Когда мы воспринимаем ухом ритм и мелодию, у нас изменяется душевное настроение, - сказал ... ?|аристотель
Когда одно съедобное животное в защитных целях принимает окраску или форму другого - несъедобного, это называется ... ?|мимикрия
Когда он был Альфредо Кокоцца, никто не думал, что это величайший оперный певец ... ?|ланца
Когда она была карательной, а не предварительной, это гораздо больше устраивало печать. Это ... ?|цензура
Когда пессимисту предлагают одно из двух, он выбирает ... ?|третье
Когда русский дает дуба или играет в ящик, ненец уходит за ... ?|морошкой
Когда саксы хотели отказать незадачливому жениху, они подносили ему ... ?|брюкву
Когда учитель входит в класс, школьники должны ... встать?|молча
Когда-то моряки называли это "чертовой библией". Что это?|карточная колода
Кого боится слон в зоопарке?|мышей
Кого в народе называют ''медвежатником''?|взломщика
Кого Винни-Пух уверял в том, что он не медведь, а туча?|пчел
Кого Винни-Пух уверял, что он "тучка, а вовсе не медведь"?|пчел
Кого должен был победить Иван-царевич, чтобы получить царевну и полцарства в придачу?|горыныча
Кого задушил Отелло?|дездемону
Кого из известных литературных индейцев придумал Фенимор Купер?|чингачгук
Кого из писателей великий собиратель автографов Леонид Крученых назвал: "Эти двое"?|ильфа и петрова
Кого Лермонтов называл "вечными странниками"?|тучки небесные
Кого ловят охотники Малайского архипелага с помощью запертой бамбуковой клетки с живым поросёнком внутри?|питона
Кого на Руси называли богомазами?|иконописцев
Кого называют "солнечным клоуном"?|олега попова
Кого называют ''солнечным клоуном''?|попова
Кого новоселы, по традиции, первым запускают в новый дом?|кошку
Кого обслуживает на круизном лайнере стюард?|пассажиров
Кого Петруха умолял открыть личико?|гюльчитай
Кого подковал Левша?|блоху
Кого поставил Всевышний "на востоке у сада эдемского" после изгнания первых людей?|херувима
Кого раньше называли тунгусами?|эвенков
Кого, предположительно, можно обнаружить в тихом омуте?|чертей
Кожаное ведро?|магеринг
Кожаный мешок для жидкостей?|бурдюк
Коза, киоск, ладья, навет. Объединение этих слов может образовать ... ?|флотилию
Коза-дереза, пiд боки луплена, за три копи куплена...  Сколько же денег заплатили за козу-дерезу?|полтора рубля
Колебание воды в бухтах?|тягун
Колесико на ножке кресла?|ролик
Количество костей в среднем ухе?|3
Количество хромосом человека во всех клетках, кроме половых?|23
Коллегиальный орган избираемый или учреждаемый для ведения определенной,главным образом руководящей работы в какой-либо организации?|бюро
Коллекционер художественных открыток?|филокартист
Коллекция засушенных растений?|гербарий
Кольцо из листьев или цветов?|венок
Колющее спортивное оружие?|рапира
Колющее холодное оружие с коротким прямым клинком и рукояткой с крестовиной?|кортик
Комy пиcaл пиcьмо Ваня Жyкoв?|дедушке
Команда собаке?|апорт
Команда собаке?|куси
Команда, наибольшее количество раз становившаяся чемпионом НХЛ (Канада и США)?|монреаль
Командир подпольной комсомольской организации "Молодая гвардия" в 1942, Герой Советского Союза (1990, посмертно). Погиб в бою.?|туркенич
Комбинация QWERTY соответствует ... ?|йцукен
Комбинация из пальцев кисти человеческой руки?|кукиш
Комбинация из трех пальцев?|фига
Комбинация темных и светлых вертикальных полос различной ширины с нанесенными под ними цифрами?|штриховой код
Комедия Мольера?|сицилианец
Комедия Н.В.Гоголя?|женитьба
Комедия Островского и Соловьева?|дикарка
Комическое или сатирическое подражание?|пародия
Комнатный цветок, слывущий прекрасным очистителем воздуха?|петуния
Компания "Мерлони" разработала первую в мире стиральную машину в которую встроен?|модем
Комплект инструментов?|набор
''Комплот'' - это...|заговор
Композитор - король оперетты?|кальман
Композитор оперы "Фальстаф"?|верди
Композитор, автор музыки к фильмам "Здравствуй, Москва", "Карнавальная ночь"?|лепин
Композитор, автор песен "День Победы", "Я люблю тебя, Россия"?|тухманов
Композитор, автор песни "Тройка"?|булахов
Композитор, песни: "Добровольцы", "Любимый город", "Темная ночь"?|богословский
Композитор, пианист и дирижер, народный артист СССР?|паулс
Композитор, пианист, руководитель ансамбля "Модо"?|паулс
Компьютерная программа?|компилятор
Кому из своих учеников Иисус Христос сказал: "прежде нежели пропоет петух, трижды отречешься от меня"?|Петр
Кому Красная Шапочка несла пирожки?|бабушке
Кому на голову упало яблоко?|ньютону
Кому не известен виноград "Дамские пальчики"? А вот его настоящее название ... ?|хусайне
Кому писал письмо Ваня Жуков?|дедушке
Кому под страхом смертной казни запрещалось посещать олимпийские игры?|женщинам 
Кому посвятил Карамзин свою "Историю государства Российского"?|александру 1
Кому посвятил свой единственный сольный альбом "Mr. Bad Guy" Фредди Меркьюри?|коту
Кому посвящен фильм с участием Михаила Жарова "Беспокойное хозяйство"?|летчикам
Кому принадлежат слова "И ты, Брут"?|цезарю
Кому принадлежат слова "Пока дышу, надеюсь"?|овидию
Кому принадлежат слова: "Человеку свойственно ошибаться"?|цицерон
Кому принадлежат слова: "Я мыслю, следовательно существую"?|декарт
Кому принадлежат строки: "Гони природу в дверь, она влетит в окно"?|карамзин
Кому принадлежит Internet?|никому
Кому принадлежит восклицание "Тесен мир!"?|колумбу
Кому принадлежит выражение "Нормальные герои всегда идут в обход"?|бармалей
Кому принадлежит выражение ''Нормальные герои всегда идут в обход''?|бармалею
Кому принадлежит знаменитый девиз ''Бороться и искать, найти и не сдаваться!''?|теннисону
Кому принадлежит фраза "Воспитаем бабу Ягу в своем коллективе!"?|огурцову
Кому принадлежит фраза "Государство - это я!"?|людовику 14
Кому принадлежит фраза "От великого до смешного только один шаг"?|наполеону
Кому принадлежит фраза "После нас хоть потоп"?|мадам помпадур
Кому принадлежит фраза ''Воспитаем бабу Ягу в своем коллективе!''?|огурцову
Кому принадлежит фраза ''От великого до смешного только один шаг''?|наполеону
Кому принадлежит фраза ''Ребята, давайте жить дружно!''?|леопольду
Кому приписывается выражение: "Победителя не судят"?|екатерине 2
Кому приписывается выражение: "Победителя не судят"?|маршал
Конан Дойль в своем рассказе назвал алмаз "Голубым карбункулом". На самом деле карбункул красный, и это даже не ... ?|александрит
Конвекция в переводе с латыни означает ... ?|доставка
Кондитерское изделие из миндального теста?|печенье
Конец света, чудовищные разрушительные события?|апокалипсис
Конечно, обдумывай "что", но еще больше обдумывай "..."! (И. Гете)?|как
Конечность тюленя?|ласт
Конечность?|рука
Коническая носадка на конце трубки для регулирования выходящей струи?|сопло
Конница, род сухопутных войск, в котором для передвижений и действий в бою использовалась верховая лошадь?|кавалерия
Константин Мелихан говорил: "Мало записаться на прием к врачу, надо до него еще ..."?|дожить
Контактное устройство, зажим для провода?|клемма
Контора адмирала Канариса?|абвер
Контрреволюционное националистическое движение в Средней Азии?|басмачество
Конфеты, названные по имени гриба?|рыжики
Конфеты, приготовляемые из молока?|ирис
Конфликт, столкновение интересов и взглядов?|коллизия
Концевая нижняя часть позвоночника человека (анат.)?|копчик
Копировать документы на ксероксе (разг.)?|ксерить
Копия картины?|репродукция
Копоть или гарь, с которым любят сражаться герои рекламы?|нагар
Копченая рыба с отрезанными брюшными стенками (вид изделия)?|балык
Копченая рыба?|балык
Копченая хребтовая часть некоторых деликатесных рыб?|балык
Копченые брюшки рыб?|теша
Копье или стрела на длинном тросе для охоты на морских животных, подводной охоты?|гарпун
Копье с плоским и длинным наконечником?|протазан
Корабельная стоянка?|док
Корабельное дерево?|сосна
Корабль, ведущий самостоятельные боевые действия на морских коммуникациях?|рейдер
Корабль, отправившийся в путь за золотым руном?|арго
Кордильеры и Скалистые горы есть не только в северной Америке, но и ... ?|на луне
Корейский муз. инстр-т в виде спиральной раковины?|нагак
Коренной житель страны, местности?|абориген
Корка на снегу?|наст
Кормовая репа?|турнепс
Корнеплод, украшающий физиономию снеговика?|морковка
Корни какого известного растения залегают на глубину до 10-18 метров?|арбуз
Коробка с подшипником, передающая давление вагона на ось колеса?|букса
Королева Виктория была в восторге от "Алисы в стране Чудес" и решила прочесть все книги этого автора. Что она в них обнаружила по большей части?|математические формулы
Королевским мушкетером при каком короле стал Д'Артаньян?|людовик 13
Королевство в Германии?|ганновер
Королем-Солнце называли?|людовика 14
Король ... (роман ф. Незнанского)?|казино
Король из мушкетерского романа А.Дюма?|людовик
Корона?|венец
Короткая винтовка?|карабин
Короткий комический рассказ в стихах или прозе?|басня
Короткий меч скифов?|акинак
Короткий мушкет?|драгон
Короткий нравоучительный рассказ, стихотворение?|басня
Короткое метательное копьё?|дротик
Корпус артилерийского снаряда?|стакан
Космонавт СССР?|романенко
Костюм участниц ансамбля "Березка"?|сарафан
Кошачий банк в Бразилии?|лапабанк
Кошка может без разбега подпрыгнуть на высоту, превышающую собственный рост в ... раз?|7
Крайне привередливый и брезгливый человек?|чистоплюй
Крайне суровый, безжалостный, беспощадный поступок?|жестокость
Крайне увлечение собиранием книг?|библиомания
Крайнее удивление?|изумление
Крайнее замедление жизненных процессов организма?|анабиоз
Крайняя западная точка Европы - мыс ... ?|рока
Крайняя северная точка Азии - мыс ... ?|челюскин
Крайняя южная точка Африки - мыс ... ?|игольный
Красавицу, которую похитил Зевс, обернувшись быком, звали?|европа
Красивое декоративное растение с красивыми крупными цветками и стеблем, покрытым шипами?|роза
Красивое название "козлиной бородки"?|эспаньолка
Краска; технич. углерод?|сажа
Красное десертное вино?|кагор
Краткая запись на полях книги?|пометка
Краткая программа действий?|план
Краткая запись, излагающая содержание лекции, учебного курса, статьи и т.п?|конспект
Краткое изложение содержания книги, статьи?|реферат
Краткое изложение сути речи, краткий вывод из сказанного?|резюме
Краткое изречение, выражающее идею, цель?|девиз
Краткое устойчивое выражение?|поговорка
Краткосрочно обучающийся для повышения квалификации?|курсист
Кратчайшее расстояние между двумя барами?|зигзаг
Кредит, получаемый государством?|займ
Крепежная деталь, которую просят с трибун хоккейные болельщики?|шайба
Крепкие и десертные белые вина ?|кокур
Крепкое и густое английское пиво?|эль
Крепостная актриса театра Шереметьева, получившая вольную, а затем ставшая женою графа?|жемчугова
Крестная мать по отношению к родителям крестника?|кума
Крестная мать по отношению к родителям крестника и к крестному отцу?|кума
Крестный отец по отношению к родителям крестника и к крестной матери?|кум
Крестовый поход или иное путешествие, совершаемое рыцарем?|квест
Крестьяне, живущие при ямах?|ямщики
Крестьяне, занимающиеся перевозкой сена, соломы и других сельхозпродуктов, очень бы удивились услышав как называют жалобу в криминальном мире. Как же?|телега
Кристалл корунда с легкой примесью титана?|сапфир
Кристалл небес мне не преграда боле; разрушивши его подъемлюсь в бесконечность. Эти слова принадлежат ... ?|джордано бруно
Кристаллич. или плавленый диоксид кремния?|кварц
Кроме романа "Кафедра", советская писательница-математик И. Грекова написала книгу ... ?|теория вероятности
Круг полномочий судебного или административного органа по правовой оценке конкретных фактов?|юрисдикция
Круглый хлеб, в старину готовившийся из долго перетираемого теста?|калач
Круговая безответственность?|порука
Крупа "Геркулес" изготавливается из ... ?|овса
Крупная емкость для хранения горючего или жидких газов?|танк
Крупная перелетная птица, гнездится рядом с людьми?|аист
Крупная птица жарких стран с красивым оперением?|страус
Крупная чайка?|гагара
Крупнейший архипелаг в России (82 600 кв.км)?|новая земля
Крупнейший город в Китае?|шанхай
Крупное финансово-кредитное учреждение?|банк
Крупное поместье, земельное владение в Лат.Америке и др?|латифундия
Крупный капиталист?|магнат
Крутой берег, обрыв?|яр
Крутой взлет, крутой подъем?|свеча
Крутой поворот, изгиб реки?|излучина
Крутой спуск,обрыв?|круча
Крытая повозка?|фура
Крытое нежилое строение?|сарай
Крытый проход образованный колоннами и расположенной параллельно им стеной?|портик
Крючок для морского корабля?|якорь
Кто "и теперь живее всех живых"?|ленин
Кто "учился в кулинарном техникуме"?|хазанов
Кто автор известного утверждения ''Умом Россию не понять'' (фамилия)?|тютчев
Кто автор изречения: "В одну реку нельзя войти дважды"?|гераклит
Кто автор картины "Подсолнухи"?|ван гог
Кто автор картины ''Саввинский монастырь под Москвой''?|каменев
Кто автор поэмы "Энеида"?|вергилий
Кто автор поэмы ''Энеида''?|вергилий
Кто автор произведения "Ученые женщины"?|мольер
Кто автор романа "Колыбель для кошки"?|воннегут
Кто автор романа "Спартак"?|джованьоли
Кто автор сказки "Дюймовочка"?|андерсен
Кто автор слов: "Россия без каждого из нас обойтись может, но никто из нас без нее не может обойтись"?|тургенев
Кто автор стиха (песни): "Тройка мчится, тройка скачет, вьётся пыль из под копыт..."?|вяземский
Кто автор строк "Сижу за решеткой в темнице сырой. Вскормленный в неволе орел молодой..."?|пушкин
Кто автор этого бота (ник)?|снежок
Кто адресовал свое письмо ''на деревню дедушке''?|жуков
Кто был вице-президентом при Джоне Кеннеди?|джонсон
Кто был главным врагом Чебурашки?|шапокляк
Кто был любимцем Аполлона?|гиацинт
Кто был наркомом иностранных дел СССР в 1941 году?|молотов
Кто был одним из "отцов" Козьмы Петровича Пруткова?|толстой
Кто был основоположником учения о наследственности?|мендель
Кто был первым американским миллиардером?|рокфеллер
Кто был первым рейхсканцлером Германской империи?|бисмарк
Кто был первым человеком на Земле?|адам
Кто был режиссером фильма "Взвод" ("Platoon"), получившего в 1986 году премию "Оскар"?|стоун
Кто был родоначальником русского футуризма?|хлебников
Кто был сыном Ноя?|хам
Кто в 1895 году открыл лучи загадочной природы, назвав их икс-лучами?|рентген
Кто в 1912 г. достиг Южного полюса?|скотт
Кто в 19-ом веке передвигал речные судна вручную с помощью бечевы?|бурлаки
Кто в древнегреческой мифологии закатывал камень в гору?|сизиф
Кто в Киевской Руси почитался как бог-хранитель всея Руси?|велес
Кто в мультфильме "Летучий корабль" восклицал "Эх, жизнь моя жестянка, да ну ее в болото!"?|водяной
Кто вдохновил Андрея Рублева на создание иконы "Троица"?|сергий радонежский
Кто ведет КВН?|масляков
Кто внес решающий вклад в процесс вытаскивани репки?|мышка
Кто внес решающий вклад в процесс извлечения репки из земли?|мышка
Кто возглавил, согласно мифологии, поход греков против Трои?|агамемнон
Кто впервые выдвинул идею перехода на летнее время?|франклин
Кто впервые провел операцию на сердце (фамилия)?|барнард
Кто впервые употребил термин ''робот''?|чапек
Кто всегда выручал героя фильма "Белое солнце пустыни" потому, что "стреляли..."?|саид
Кто все-таки нашел Золотой ключик?|тортилла
Кто вьет гнездышко в бору, словно горлица?|витютень
Кто делил награду следующим образом: "Тебе двести таньга за то, что ты понимаешь в болезнях, а мне двести за то, что я понимаю в девушках"?|ходжа насреддин
Кто живет дольше (на 9 лет в среднем), правши или левши?|правши
Кто заложил основы кибернетики?|винер
Кто заставил плясать морского царя?|садко
Кто из античных богов считается покровителем алхимии?|гермес
Кто из артистов, по мнению В. Бутусова, не пьет одеколон (фамилия)?|делон
Кто из европейцев первым посетил сепулькарий?|тихий
Кто из знаменитых американских фантастов родился в России?|азимов
Кто из знаменитых литературных котов, если верить братьям Стругацким, страдал склерозом?|кот ученый
Кто из исполнителей роли Джеймса Бонда играл в фильме "Осьминожка"?|мур
Кто из котов отличался необыкновенным миролюбием?|леопольд
Кто из московских митрополитов проповедовал на Аляске?|иннокентий
Кто из очковых проживает в Южной Америке?|медведь
Кто из писателей ввел слово ''стушеваться''?|достоевский
Кто из российских хирургов впервые провел операцию под наркозом на поле боя?|пирогов
Кто из русских поэтов говорил: "Сонеты в России умеют писать только 2 человека: я и Максимилиан Волошин"?|брюсов
Кто из русских путешественников ходил "за три моря"?|никитин
Кто из советских милиционеров гонялся за Фантомасом (фамилия)?|анискин
Кто из этих архитекторов не работал в Санкт-Петербурге?|бернини
Кто изобразил Венеру Милосскую с выдвинутыми ящиками?|дали
Кто изобрел акваланг?|кусто
Кто изобрел гильотину?|гийотен
Кто изобрел радио?|попов
Кто или что ходит по цепи кругом зеленого дуба?|кот
Кто имеет размах "крыльев" до 6 метров?|манта
Кто использует термин ''черная дыра''?|астроном
Кто на смертном одре сказал: "Бог мне простит - это его ремесло"?|гейне
Кто написал "А зори здесь тихие"?|васильев
Кто написал "Божественную комедию"?|данте
Кто написал за десять дней полотно "Среди волн" площадью 12 квадратных метров?|айвазовский
Кто написал книгу ''Вокруг света за 80 дней'' (фамилия)?|верн
Кто написал музыку к известному бродвейскому мюзиклу "Cats" ("Кошки")?|веббер
Кто написал музыку к известному бродвейскому мюзиклу "Cats" ("Кошки")?|эндрю веббер
Кто написал ''Муму'' (фамилия)?|тургенев
Кто написал о приключениях Лягушки-путешественницы?|гаршин
Кто написал оперу "Жизнь за царя" про Ивана Сусанина?|глинка
Кто написал оперу "Князь Игорь"?|бородин
Кто написал повесть-сказку ''Приключения Пиноккио''?|коллоди
Кто написал поэму ''Потерянный рай''?|мильтон
Кто написал поэму ''Черный человек''?|есенин
Кто написал пьесу "Дядя Ваня"?|чехов
Кто написал роман ''Зима тревоги нашей''?|стейнбек
Кто написал ''Свадебный марш''?|мендельсон
Кто написал сказку "Карлик-Нос"?|гауф
Кто написал сказку "Синяя борода"?|гофман
Кто написал стихотворение "Екклесиаст"?|блок
Кто написал стихотворение "К Сикстинской мадонне"?|фет
Кто нарисовал цикл карикатур ''Забавная библия''?|эффель
Кто обеими ногами стоит на земле, никогда не снимет ... ?|штаны
Кто обладатель Кубка России по футболу в 1999 году?|зенит
Кто одновременно и кушает, и слушает (по дедушке Крылову)?|василий
Кто остается с носом, оставшись без носа?|сифилитик
Кто отдал приказ убить своих братьев Бориса и Глеба?|святополк
Кто пел: "Извозчик, два червонца как с куста, если меня пьяного дождешься"?|розенбаум
Кто первый ввел в употребление понятие "междуящичное пространство"?|жванецкий
Кто первый открыл сперматозоиды?|левенгук
Кто первым запатентовал радиопередающее устройство?|маркони
Кто первым открыл Южную Америку?|магеллан
Кто перевозит души умерших в царство Аида?|харон
Кто писал: "... тот факт, что сам я в момент письма не понимаю смысла своих картин, не значит, что они вообще лишены смысла ... "?|сальвадор дали
Кто писал: "...Послушайте, упрямиться чего вам? Пришла пора исправить ошибки отцов. Перемените имя. Станьте Родионом. Или же Романом, в конце концов."?|рождественский
Кто плавал на папирусной лодке "Ра" и на плоту "Кон-Тики"?|тур хейердал
Кто по зодиаку будет тот, кто родится 15 июля?|рак
Кто по мнению Оскара Уайльда обладают волшебным даром превращать вино в воду?|англичане
Кто по одной из версий изобрел радио?|попов
Кто по профессии братья Жемчужниковы?|писатели
Кто подметил, что "Восток - дело тонкое"??|сухов
Кто после смерти может оставаться стоя еще некоторое время?|слоны
Кто придумал Алису Селезневу?|булычев
Кто придумал кинематограф?|братья люмьеры
Кто придумал комиссара Мэгрэ?|сименон
Кто придумал Конана-варвара?|говард
Кто придумал персонаж по имени Анастасия Каменская?|маринина
Кто придумал Планету Обезьян?|буль
Кто придумал слово "робот"?|чапек
Кто придумал Штирлица?|семенов
Кто приходит с подарками к детям на Новый Год ''Дедушка...''?|мороз
Кто провалился в болото в стихотворении К.И.Чуковского ''У меня зазвонил телефон''?|бегемот
Кто произнес с экрана сакраментальную фразу: "Хотели, как лучше, а получилось, как всегда"?|черномырдин
Кто произнес с экрана сакраментальную фразу: ''Хотели, как лучше, а получилось, как всегда'' ?|черномырдин
Кто произнес слова "Пока дышу, надеюсь"?|овидий
Кто произнес ''У меня нет средств содержать совесть''?|шопенгауэр
Кто путешествовал в страну Гуингнмов?|гулливер
Кто разбил армию Спартака?|красс
Кто разрубил Гордиев узел?|александр македонский
Кто режиссер фильма ''От заката до рассвета''?|родригес
Кто сажал алюминиевые огурцы?|пелевин
Кто сам ..., тот другим не верит. Вставьте в поговорку пропущенное слово?|плут
Кто сделал перевод "Одиссеи" Гомера на русский язык?|жуковский
Кто сидит рядом с водителем спортивного автомобиля во время ралли?|штурман
Кто символизирует США?|дядя сэм
Кто скажет - все-таки, чем окончилась пушкинская история с тремя картами - тройка, семерка и туз? Ведь там Германн ... ?|сошел с ума
Кто сказал - ''Veni, vedi, vici''?|цезарь
Кто сказал - ''Религия - опиум для народа''?|маркс
Кто сказал ''Бумага не краснеет''?|цицерон
Кто сказал: "Многие вещи нам непонятны не потому, что наши понятия слабы; но потому, что сии вещи не входят в круг наших понятий?|козьма прутков
Кто скакал под елочкой в лесу?|зайка серенький
Кто скрывается под псевдонимом "Кушеткер"?|чехов
Кто славился длинным носом?|бержерак
Кто сменил на российском троне Елизавету Петровну?|петр 3
Кто снял искрометную "Кавказскую пленницу"?|гайдай
Кто снял искрометную ''Кавказскую пленницу'' (фамилия)?|гайдай
Кто снялся в роли советского офицера Ивана Драги, противостоящего знаменитому боксеру Рокки?|лундгрен
Кто создал Вини Пуха (фамилия)?|мильн
Кто создал легендарного сыщика Шерлока Холмса (фамилия)?|дойль
Кто создал одно из чудес света - статую Зевса в Афинах?|фидий
Кто сочинил "Танец с саблями"?|хачатурян
Кто сочинял кансоны в средневековом Лангедоке?|трубадуры
Кто сражался с немейским львом?|геракл
Кто съел Колобка?|лисица
Кто сыграл главную мужскую роль в фильме ''Молчание ягнят''?|хопкинс
Кто сыграл главную роль в фильме "Веселые ребята"?|леонид утесов
Кто сыграл главную роль в фильме ''Веселые ребята'' (фамилия)?|утесов
Кто сыграл Ивана Грозного в фильме "Иван Васильевич меняет профессию"?|яковлев
Кто сыграл Эммануэль?|кристель
Кто такая "Любимица Клаппа"?|груша
Кто такая путана?|проститутка
Кто такие "ложные вампиры"?|летучие мыши
Кто такие мытари?|сборщики налогов
Кто такой пролетарий?|рабочий
Кто такой рулевой на судне?|кормчий
Кто такой Фаррух Булсара?|певец
Кто такой Эдсон Арантис ду Насименто?|пеле
Кто такой Экклесиаст?|соломон
Кто умер с более чем 1000 патентами на своем счету?|эдисон
